Tweet,anger,disgust,fear,sadness,pessimism,anticipation,love,optimism,joy,surprise,trust
"@b_1312b الله يلعنهم عجزت وانه ادور عليهم عشان اهربهم مافي امل ساعة كل وحدة مياو مياو وان صار الصق هربو ،",1,0,0,0,0,0,0,0,0,0,0
@batool_ekeili سخط المتبهدلين على أهل النعمة,1,0,0,1,0,0,0,0,0,1,0
"@d7mts يارب ،عندي امل ككبيير مارح يغيب كثيير 💙💙",0,0,0,0,0,1,1,1,1,0,1
@EsraaAl39822297 اتفق معك في كل كلمه قولتيهااااا  حرفيا👌👌 هو في احلى من أن تكون مريح نفسك ولا شايل هم حد ولا وجع دم… https,0,0,0,0,0,0,0,0,1,0,0
@iiSu3ad @coffeelogy_54 غريب ها شي في العقرب,0,0,1,0,0,1,0,0,0,0,0
@jY6Q8DgBOh1BKXT نظرة البنت||لازم تكون خاضعة فيها ضعف لما تبوس ايد الملكة||بس هون لا بتحسيها هي الملكة و هاذ غلط||||لاز… https,0,0,0,0,0,1,1,0,1,0,1
@katluni10 عجيب ذوقك 😍,0,0,0,0,0,1,0,0,0,1,0
@MashaeelMosha @coffeelogy_54 فعلا غريب تصرفاته احس فيها خيبة او عدم احساس بالمسؤولية,1,1,1,1,0,1,0,0,0,0,0
@MBNsaudi 😂😂😂😂والله لمن شفته عالتلفزيون اليوم فكرته احد حرسه 😂😂😂😂😂وماانتبهت الا لمن قلت  انتا..وعلقت عا اهل البيت ق… https,0,0,0,0,0,1,0,0,1,1,0
@mujtahidd احتمال كبير ياسفية ان تقوم الدويلة القطريه الفاشلة بقتلك على امل توريط السعودية لانك كرت وكلب عندهم شبه محروق ولا قيمة لك,1,0,1,1,1,0,0,0,0,0,0
@Na11_il سبع سنوات كيف صبرتي عليه!!!||وجع يوجعه هالمريض ربي يعوضك بغيره,0,1,1,0,1,1,1,1,1,1,1
@naif_m_29 شكرا لأني من خلال كلامك قدرت ذاتي وعشت حزني الي قاومته سنين وتجاهلته كثير حسيت من كلامك ببشريتي من دون تأنيب ضمير ولا ندم شكرا لك,0,0,0,0,0,0,1,1,1,0,0
@naima_a_ahmed @Benguennak اسمها نذالة و قرف آل سعود اخذوا دروس من الصهاينة,1,1,0,0,0,0,0,0,0,0,0
"@NajitoG هذا غريب يقل أدبه هناك ، ولو تحرش بأهله هنا واحد غريب كان قوّم الدنيا وماقعدها هذا السافل.",1,0,0,1,0,0,0,0,0,0,0
@nndosh97 بس في امل انه ينزلل ياخي💔💔,0,0,0,0,0,1,0,1,0,0,0
@oamaz7 شيء محزن . ومن من .!؟ من السعودية وولي العهد القاتل المريض المسعور حسبي الله ونعم الوكيل فيهم .,1,0,1,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,1,0
@Q8Cvc 😒 خاف الله فينا ..,0,0,1,0,0,0,0,0,0,0,0
@QZxiz لا غريب,0,0,0,0,0,1,0,0,0,1,0
@SgpBQC3HbPqx0C4 @Ol1raf2 @Sultan_Althani7 @AlArabiya_Brk 😂😂😂😂 روحي الله يسعدك من اليوم ما ضحكت الا لما قريت تغريدا… https,0,0,0,0,0,0,1,1,1,0,0
@WAAD_ZAIN وجع ترا الهواش كله علشان فرقة لاتعرفك ولا تعرفها تتشمتين فيها بالموت!!!!!!يلعن البزر الحيوان الي عايش بد… https,1,0,0,1,1,0,0,0,0,0,0
@westmadina تستاهل التكريم يابو صالح على الجهد المبذول والملموس ولا هو غريب تكريم أمثالك من الرجال الحريصين على تقد… https,0,0,0,0,0,0,1,0,1,0,0
@Whl231 عن نفسي اتمناها هالايام تمضي بسرعة لان الاحساس بعدم الوصول في هالليالي العظيمة الى قبر غريب الغرباء وانا ال… https,0,0,1,1,0,1,0,0,0,0,0
,0,0,0,0,0,1,0,0,0,0,0
@YVXMAziGm6jkV9G @TVgorgeous @NadineKh عجيب في ازمة السعودية يطلعلك فدي مثل ذا,0,0,0,0,0,0,0,1,0,0,0
ٰفحل جاد زبي وردي ونظيف ابي جاده من الرياض تجي خاص🛑🛑🛑bbmD06BD864||كسي||كس||زبي||زب||كبلز||تحرر||كيك||بيبي||سناب||فحل||خاضعه||س… https,0,1,0,0,0,0,0,0,0,0,0
 المؤتمر سيكون باب خير على جميع العرب وليس فقط #السعودية سيكون المستفيد الأول المواطن العربي لذلك تحاول دويلة قزمة إفشال هذا المؤ…,0,0,0,0,0,1,1,1,1,0,0
@imankais1 يا بتاعت الحرية .. عشنا في بلاد الغرب ٤ سنوات تقريبا و الله ما صدقت اني خلصت و رجعت لديرتي .. مع اني كنت… https,0,0,0,1,0,1,1,1,1,0,0
@ishoq_9 ضعف  😠,1,0,1,1,1,0,0,0,0,0,0
@KyhotiDon @Falcon_Iraq اما الانكليز فهم يرحبون باي مستثمر شغلة فلوس لا اكثر لا محتاجهم ولا هم محتاجيني وبيهم ناس ط… https,0,0,0,1,0,1,0,0,0,0,0
" "" محزن جدا ان تذرف دموعك لفراق من تحب ، وهو يبتسم""||#qoutes",1,0,0,1,0,0,0,0,0,0,0
@Lubna69808937 حلو اضفنا معلومة جديدة ومشكورين ع تفاعلكم...||والدرس المستفاد هنا أننا نحن كعرب قد نختلف بتسميات بعض… https,0,0,0,0,0,0,0,1,0,0,0
@M_M_Q_Alrehaili حاولوا من الداخل فاصطدموا بلحمة وتكاتف عجيب والآن يحاولون من الخارج فوجدوا جيشا الكترونيا قويا للدفاع بكل قوة,0,1,1,0,0,1,0,1,1,1,0
@maziin_00 يستا الاكل دا شئ مهم اله هو ولا كراش ولا امل لا دنا اموت بقي😂,0,0,0,0,1,0,0,0,0,0,0
@MohammedGhara14 سيدي العزيز كيف يعني لجلالة الملك طبعا للحكومة التي تدعي السلام والديموقراطية غريب هذا السؤال ؟؟؟,0,1,1,0,1,1,0,0,0,1,0
@muhammadsobhy22 @m7maad_3la2 @MinaBITW هوا سؤال غريب فعلا واكيد الامتحان اغرب||رلنا يعينك وتخلصو على خير,0,0,1,0,1,1,0,0,0,0,0
@nouf____Not وجهه نضري||القلب بيقولك تاخذها||والعقل يقولك لا||ولكن ننظر للي بيده القرار وهو الرجل ؟||هل هو مقتنع 100/10… https,0,0,1,0,0,1,0,0,0,0,0
"
",1,0,1,1,0,0,0,0,0,0,0
@sameer20_20 امل كعدل,0,0,0,0,0,0,0,1,0,0,0
" "" ينام العبد على أمرٍ قد يئس منه، ويستيقظ على انفراجه ""||ثق بربك",0,0,0,0,0,0,0,1,0,0,1
" ""||""||""||""||""||نضحك و نمـزح و كلٍ داخله عبره||يـا وقت لا تخـدعك ضجــه اغانينا||'||حـنا نســلم عشان الناس ما تشره||ولا الوجع والله ان…",0,0,0,1,1,0,0,0,0,0,0
||للت… https,,,,,,,,,,,
" ""||كل ما طرا على بالي بكيت ||وهو دايم على بالي ما يغيب !",0,0,0,1,1,0,1,0,0,0,0
" ""||ولكنني لما وجدتك راحلآ ||بكيت دمآ حتى بللت به الثرى !",0,0,0,1,1,0,0,0,0,0,0
"-لقد بكيت ، حتى شعرت أن شيئًا ما قد انسكب من قلبي*.💔",0,0,0,1,0,0,0,0,0,0,0
بعد جولة على التغريدات التحليلية ||||وجدت أن غالبها ينصب ويتفق مع تغريدة أخوكم هذه||||صباحكم خير ورضى,0,0,0,0,0,0,1,1,1,0,1
" ""الحُب عظيم جداً و لكن الحمقى أفسدوه"" https",1,0,0,0,0,0,1,0,0,0,0
@SouihatKhaled اسعد الله صباحك بكل خير,0,0,0,0,0,0,1,1,1,0,1
" ""اللهم يا جامع الغيم في السماء إجمع بيني وبين فرحي وسعادتي وتوفيقي وبمن احب، وكل أمر تعلم انه خير لي إنك على كل شيء قدير💙.""",0,0,0,0,0,1,1,1,1,0,1
 هادئة أنا||وحيدةً مع ذاكرتي||أقرأ لها بنفسٍ رطب||سؤال نام على ناصية روح||تتجرعة ك #أقداح_المطر||ماكان في بال القدر||أن يبلل صدر اللق…,0,0,0,1,0,0,0,0,0,0,0
@TheBRecords ياشرين ❤ انا بحبك انتي لخصتي ملحمه المرأة أو كرامه المراه واحيي الاستاذ امير علي الكلمات كانوا بيتكلم… https,0,0,0,0,0,0,1,0,0,0,0
" ""أَلَمْ يَعْلَم بِأَنَّ اللَّهَ يَرَىٰ""❤️||يرى كل عمل أنت قاعد تعمله من خير أو شر،يرى  كيف بتواجه حياتك لوحدك وبنفسك وبيرسل لك…",0,0,0,0,0,1,0,0,0,0,1
" ""أحسِن الظن بالناس كأنهم كلهم خيراً..||واعتمد على نفسك وكأنه لا خير في الناس!""",0,0,0,0,0,1,0,0,0,0,1
" ""أضيئوا عتمة الليل بنور الوتر لعل ركعة واحدة تكون نهاية حُزن ثقيل، وبداية فرح مقيم.""🌿",0,0,0,0,0,1,0,1,0,0,1
" ""أضيئوا عتمة الليل بنور الوتر لعل ركعة واحدة تكون نهاية حُزن ثقيل، وبداية فرح مقيم.""🌿 ||||#الوتر||________________________||||#نجد_ال…",0,0,0,0,0,1,0,1,0,0,1
" ""أقلل عتابك فالبقاء قليلُ||والدهر يعدل تارةً ويميلُ||لم أبك من زمنٍ ذممتُ صروفه||إلا بكيت عليه حين يزولُ""|||| #عزاءات_الشعر",0,0,0,1,0,0,0,0,0,0,0
" ""بوجودك أقاوم جميع مخاوفي وكأنك الحل لكل الأشياء المعقدة التي تصادفني , وانني يا قدري لو تعلم أعجز عن شرح كيف أن هذا العالم ك…",0,0,0,0,0,0,1,1,1,0,0
" ""تشعر برغبة في أن تتحدث أمام شخص غريب عن كل ما يحدث بداخلك عن تلك المحاولات الفاشلة في قتل شعور سيء يراودك بعد منتصف الليل…",0,0,0,1,1,0,0,0,0,0,0
" ""تمسَّكْ بالدُّعَاءِ|| كأنَّكَ لا تعرِف عِلاجاً غيرَه !"" ❤",0,0,0,0,0,0,0,0,0,0,1
" ""تنجو لأن ضحكة ما في هذا العالم الشاسع، تخصك.""",0,0,0,0,0,0,1,0,0,0,0
" ""ثم نكتشف في النهاية أن البوح ليس سهلًا للمقرّبين كما يصوّره الآخرون، بل صعب جدًا، والبوح للغرباء متعة وراحة وأمان، لأن كل ما…",0,0,0,0,0,1,0,0,0,1,0
" ""ثم يُقال  يا مُحمَّد ||ارفعْ رأسكَ، وسَلْ تُعطَ، واشفعْ تُشَفّع||||فأرفع رأسي فأقول || أمّتي يا ربي، أمّتي "" ❤|| #شي_تتمناه_عند…",0,0,0,0,0,0,0,0,0,0,1
" ""ثم يهبك اللهُ قوةً من بعد ضعـف، و فرحه من بعد حُزن حتى ترضى فيهون عليك كُل شيء ضاق به صدرُك، فتهون عليك الدُنيا بما ف…",0,0,0,0,0,1,0,1,0,0,1
" ""خلينا متفقين إن عمرو دياب لا غنّي ولا بيغني ولا هيغني حاجة وحشة 😎"" ||||#الهضبه.. 😍||#عمرو_دياب.. ❤ https",0,0,0,0,0,0,1,0,0,0,1
" ""صدور الناس أوعية، إما أن نحتفظ فيها بما قد نحتاجه، أو أن نجعلها مليئة بما يزعجنا. فمن علم أنه لابد له وأن يحتاج لغيره، عرف…",,,,,,,,,,,
" "" فليشهد الله أنني لم أيأس قط، أعتـرف||أنني فقدت الأمل في لحظات ضعف ولكن||كان هناك صوت في داخلي يردد دائماً بأن ||من تمسك بالله…",0,0,1,1,1,0,0,1,0,0,1
" ""عدو عاقل خير من صديق جاهل ""||وقيل عن الصديق الأحمق-||وربما  إذا  نظر ||أراد نفعا فأضر",0,0,0,0,0,0,0,1,0,0,0
" ""كان مجرد يقين أن الله معي ينقذني، في كل مرة. “",0,0,0,0,0,1,0,1,0,0,1
" ""كل وجع النساء وجعي، يسلخ جلدي ويذيب لحمي وينخر عظمي وأذوقه في كل لحظة، كله أعرفه، لا أنكر منه شيئاً""||هذا مو بايو احطه وبس ا…",1,1,1,1,1,0,0,0,0,0,0
" ""كنيُ دعيتَ من الله خير وجيتِنيُ💛🔥""",0,0,0,0,0,0,1,0,1,1,0
" ""لَو تمكنت من رؤية قلوب البشر||لرأيت في كل قلب قصة وجع||فلنرحم بعضنا بعضآ لعل الله يرحمنا""",1,0,0,1,1,0,0,0,0,0,0
" ""لا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنتُ مِنَ الظَّالِمِينَ""  سرّ عجيب في كشف الكرب، و رفع المحن.||#الحمدلله htt…",0,0,0,0,0,0,0,1,0,0,1
" ""لا أتذكر يومًا أني استنجدت بالله في داخلي لينقذني من موقف صعب وردني خائبًا، كنت دائمًا على يقين أنه سيفعل شيئًا ما.""",0,0,0,0,0,0,0,1,0,0,1
" ""لا تخاف من اللي يعاتبك ويزعل عليك ، خاف من اللي يسكت وما عاد تفرق معه"".",0,0,1,0,0,0,0,0,0,0,0
" ""لا تدع احدا يخبرك بأنك لا تستطيع فعل شيء ما ، اذا كان لديك حلم فعليك حمايته""|| - من فلم ||The pursuit of Happyness 📽. https",0,0,0,0,0,1,0,1,0,0,0
"'||||⸀ོ  ||||.على هونك ،||بعد عِشرة تثاقل كلمة||شلونك ؟!||عسى المانع حبيبي خير ؟||ترا مهما خذاك الوقت ،||والتغيير ..||أنا الل… https",1,0,0,1,0,0,0,0,0,0,0
" ""لا تسألني عن حالي ؛ فأنا دائماً بخير مهما أختلف الشعور ومهما كانت الظروف ستجد ذات الاجابة نفسها ، أعرف كيف أتجاوز كل شي وح…",0,0,0,0,0,0,0,0,0,0,1
" ""لا تظن أن دُعاءك لا يُستجاب، الله يسمعك ، يُدبر أمرك ، يكتب لك كل خير ، و يصرف عنك الشر برحمته ، اطمئن الله لا ينساك""",0,0,0,0,0,0,0,1,0,0,1
" ""لا تنتظر أحد يقولك صباح الخير حاول تخلي صباحك فعلاً خير بلا أسباب وبلا تدخلات بشريّه إعتماد الذات قوة أيضًا "".",0,0,0,1,1,0,0,0,0,0,0
 مع بزوغ الفجر وتنفس الصبح الذي يشرق سعاده ومحبه||اصبحنا واصبح الملك لله||اللهم اقسم لنا من كل خير ورزق وبركه https,0,0,0,0,0,0,1,1,0,0,0
" ""محمد الكواليني"" معلق مباراة الاهلي ووفاق سطيف اليوم || الاهلي ومحمد صلاح هما مصدر الفرحة الوحيدة عند المصريين ❤ https",0,0,0,0,0,0,1,0,0,0,0
" ""مهما رمت الحياة أثقالها على عاتقك|| اعلم أن الله لن يُكلف نفسا إلا وِسعها .. واطمئّن مخاوفُك ، وأحزانك ، وكُل متاعبك هي بقدر|| ل…",0,0,0,0,0,0,1,1,0,0,1
" ""هل جرّبت أن تبتسم لحديث أحدهم، ثم بكيت سرًا لأنه أوجعك؟""",0,0,0,1,0,0,0,0,0,0,0
" ""هل هناك وجع اقسى من أن يقف الكلام بين فمك وحنجرتك ، أن اظهرته ندمت وإن أبقيته تألمت .""",0,0,1,1,0,0,0,0,0,0,0
" ""واسألك يا الله أن تجعلني خير سند وملجأ، وأن تجعل قلبي ليناً وأن تجعل الحديث الذي يخرج من فمي يمر الروح برقَّه فلا أجرح ولا…",0,0,0,0,0,0,0,1,0,0,0
" ""واعلم أن خير طبقات أهل الدنيا طبقة أصفها لك من لم ترتفع عن الوضيع، ولم تتضع عن الرفيع.""||ابن المقفع||||صدق||وهذا شأن العظماء",,,,,,,,,,,
" ""وإن من نقائصِنا المتصلة بحالتِنا العلمية الحاضرة ثلاثًا لا كمالَ معها... هذه النقائصُ الثلاث هي||• ضعفُ الميل إلى التخصص||•…",0,0,0,0,0,0,0,0,0,0,1
" ""ولكنّني لمّا رأيتك راحلًا ||بكيت دمًا حتّى بللت به الثّرى||||مسحتُ بأطراف البنان مدامعي||فصارَ خضابًا في اليدينِ كما ترى""",1,1,1,0,0,1,0,1,1,1,1
" ""ووحدي أحاول البقاء بثبات دون أن يسقطني وجهك،||ووحدي أحاول الكبرياء ودفعك عني،||لكن فؤادي يلفظ الحياة دونك،||""حُبك مؤلم يشبه نصل…",0,0,0,1,0,0,1,0,0,0,0
" ""يا فرحةَ يعقوب بيوسف مُرِّي بنا !"" ❤",0,0,0,0,0,0,0,1,0,0,0
" ""يا مَنْ تعلمُ السِّرَ منا||لا تكشِف السِّترَ عنَّا !"" ❤",0,0,0,0,0,0,0,1,0,0,0
 ##تهديد_ابتزاز_المستضعفات_3||||اللهم إني أسألك أن تحفظ علينا النعم وتدفع عنا النقم وأن ترزقنا حلو الحياة وخير العطاء وسعة الرز…,0,0,0,0,0,1,0,1,0,0,0
  في عيونك جمال وفي عيوني غزل||خلي  عيوننا  تنظم  قصيد  وتبوح||||الحقيقه  انا  فا لوصل  فاقد  امل||بس خليني اشبع من عيونك واروح”,0,0,0,1,0,0,1,0,0,0,0
 #٢٥_مليون_محمد_بن_سلمان||اضحك ي سيدي وأملي الدنيا فرح ||اضحك عسى ضحكات اعداءك بالمحي والفنا||اضحك عسانا مانفقد ضحكاتك||ووقفاتك…,0,0,0,0,0,1,0,1,0,0,0
 #٢٥_مليون_محمد_بن_سلمان||ليس غريب أن يكون هذا الشعب ملهم لي ولشباب كثير||لكل من ينتقد السعودية..أقرأ التاريخ لتثقف حواسك..أنت…,1,0,0,0,0,0,1,0,0,0,1
" #88_عاما_من_العطاء||هذا يوم يرفع فيه كل مواطن رأسه شموخاً، وفخراً بما تحقق على أرض وطنه المعطاء، وندعوا الله العلي القد…",0,0,0,0,0,1,0,0,0,0,1
 #Gp_مملكة_العشق||||إني احبك رغم أنف قبيلتي ||وقبيلتك ومدينتي ومدينتك ||وسلاسل العادات ❤||||#نبض https//t.co/UQ1gHB4srl,0,0,0,0,0,0,1,0,0,0,0
" #Gp_مملكة_العشق||||كيف أجازي يدك الممدودة دائمًا ، وبابك المفتوح وصدرك الرحِب ، وقُربك الذي يملأ قلبي فرح .♥️.||||@vib_______b…",0,0,0,0,0,0,1,0,0,0,0
