Topic,Location,Article
Entrepreneurs,Dubai,"KIGALI – Startups from the United Arab Emirates (UAE) and Africa are set to take part in the first-ever Chamberthon event.

The event will be organised and hosted by Dubai Chamber of Commerce and Industry during the Africa Tech Summit in Kigali, Rwanda, on February 13 to 15.

The Chamberthon will provide a creative environment where UAE and African startups can collaborate and develop new innovative ideas that will be used to structure the GBF Mentorship Programme.

This is a holistic three-month programme fostering cross-border cooperation between startup communities that will pair startups with mentors who can provide them with valuable expertise, support and guidance.

The new mentorship programme is an extension of Dubai Chamber’s Global Business Forum on Africa platform. A total of 10 startups from the UAE and Africa will be selected to participate in the programme which will provide many benefits beyond mentorship.

They include access to networking and Dubai Startup Hub services and support, as well as speaking and exhibiting opportunities at the Global Business Forum on Africa in Dubai, taking place in November 2019.

Continued cooperation between UAE and Africa

Hamad Buamim, President and CEO, Dubai Chamber of Commerce and Industry said: “By bringing UAE startups to Africa to participate in the Chamberthon, we are creating a platform for continued cooperation between the two business communities. We are very optimistic that this project will achieve its objectives of building an innovative and beneficial mentorship programme for African and UAE startups that will enable them to succeed and grow beyond borders.”

For his part, Andrew Fassnidge, Founder of the Africa Tech Summit said: “We are delighted to partner with the Dubai Chamber at Africa Tech Summit Kigali, connecting Africa and the UAE under this new initiative fostering international co-operation, mentorship and growth. We look forward to seeing this grow over the coming years.”

The Africa Tech Summit, supported by Rwanda’s Ministry of ICT, will provide unparalleled insight, networking and business opportunities for African and international tech leaders and investors who want to do business in Africa.

The three-day Summit will connect over 400 digital leaders, finance institutions, investors, regulators, startups, media and leading tech ventures from across Africa and the world.

Established in 1965, the Dubai Chamber of Commerce & Industry is a non-profit public entity.

Its mission is to represent, support and protect the interests of the business community in Dubai by creating a favourable business environment, supporting the development of business, and by promoting Dubai as an international business hub.
"
Entrepreneurs,Dubai,"The UAE is home to the highest number of fintech startups at 67 followed by 44 in Turkey, 30 each in Jordan and Lebanon.

(File photo)

The UAE continues to strengthen its position as a hub for fintech startups as the country is home to highest number of startups and investments into this nascent sector, thanks to government support and initiatives taken by the financial free zones in Dubai and Abu Dhabi.

According to Bloomberg Intelligence, the UAE is home to the highest number of fintech startups at 67 followed by 44 in Turkey, 30 each in Jordan and Lebanon. While South Africa leads in Africa with 184 startups followed by 146 in Nigeria, 111 in Kenya, 36 in Ghana, 34 in Egypt and 24 in Uganda.

Bloomberg Intelligence sees need for more venture capital to fund growing fintech startups. The number of fintech startups and investments into this sector will continue to rise in the coming years, increasing from 96 in 2019 to 465 by 2022 in the Middle East, while investments will increase from $287 million in 2019 to $2.28 billion by 2022, according to Accenture analysis based on CBI Insights data.

""Strong momentum will start from 2019. Even though the UAE showed a fast growing number of fintech startups, the level of investment in the region is still modest. In more than $90 billion by 2017 invested in fintech startups globally since 2010, only 1 per cent was allocated to companies in the Middle East and Africa,"" the report said.

""Fintech friendly regulatory environment, government support and higher level of funding are supporting the UAE in its journey,"" said Edmond Christou, GCC financials analyst for Bloomberg Intelligence.

Citing example, he said Dubai Financial Services Authority introduced in 2017 an innovation-testing licence, allowing fintech firms to develop concepts without being subject to full regulations. Also, Abu Dhabi's Financial Services Regulatory Authority set up in 2016 a regulatory laboratory with a legislative framework, which was the first of its kind in the region to support innovators.

Commenting on what the UAE can do more to expedite the growth, Christou said there should be a policy that continues to support innovation to keep up with the pace of technological changes and its risk, an environment that attracts talents and allows banks and insurers to prove the value and applicability of these technologies to the market.

Arif Amiri, CEO, Dubai International Financial Centre (DIFC) Authority, said DIFC's ecosystem continues to attract fintech startups with its unique experimental licences, market leading pricing and collaborative workspaces.

""We are committed to supporting this ecosystem by strengthening our international partnership network. Just last year, we have signed over 10 fintech-related MoUs that have strengthened our partnerships with other global fintech hubs, such as New York, London, Paris, Singapore, among others. In addition, our very own home-grown initiatives, such as FinTech Hive at DIFC and the DIFC's $100 million FinTech startups fund continue to play a crucial role in shaping the future of the financial landscape in the MEASA region,"" Amiri said.

The centre offers dedicated commercial licenses for fintech, regtech and insurtech firms, an interactive and collaborative workspace as well as access to the region's largest financial community - all available for entrepreneurs looking to set up and operate from Dubai.

Commenting on the growth prospects, Amiri said DIFC's fintech ecosystem of over 80 fintech-related companies, 34 of which are active registered companies in the fields of fintech, insurtech and regtech, is testament to the growing demand and interest in this disruptive sector.

""In 2018, applications for the second cohort of FinTech Hive at DIFC tripled, while the number of partners that are committed to the programme doubled. This continued growth is testament to a healthy sector that is well on its way to transform and dictate the future of finance,"" he added.

Khalid Saad, CEO, Bahrain FinTech Bay, said regional market for the fintech industry is small but potential is huge.

""When people tell me that Bahrain, Dubai and Abu Dhabi are competing with each other, I say, no, that is the wrong way of looking at things. It is not a zero-sum game. The market is still small in the region and currently the opportunities are huge and it requires a lot of collaboration. We have started expand collaboration and partnered with the DIFC FinTech Hive and ADGM. We are working with them to explore different avenues which we could collaborate and help fintech firms access different markets across the border,"" Saad said during a recent meeting.

Commenting on potentially creating a fintech unicorn from the Gulf region, he pointed out that it would require a company to expand way beyond the GCC to hit the potentially unicorn status.

""There are quite a few fintech unicorns globally, so why not one from the region as well in the next 5 years. I think investments to flow in fintech regionally and are expected to quadruple in the next 5 years. I hope more smart money has started to flow into the region and that should help make the next unicorn,"" Saad added.

Fintech's first wave centered on payments while the second wave focuses on mobile and online banking by offering less costly, faster and better user-experiences. Fintech's third wave has started to emerge with some banks adopting blockchain technology, startups growing in fields like insurance, regulation, risk solution and identity verification (KYC).

Not just conventional, the UAE is leading in Islamic fintech startups as well in the Middle East. Globally, Indonesia has the highest number of Islamic fintech startups, followed by the US, the UAE and the UK, according to DinarStandard analysis.
"
Entrepreneurs,Dubai,"The sixth annual Best m-Government Service Award of the World Government Summit (WGS 2019) has received a record 4,646 entries from 87 countries.

The submissions included apps that seek to address a host of pressing issues facing governments with the aim of improving the lives of global citizens in the future. Furthermore, the GovTech initiative will see the UAE host the $100,000 GovHack Series – and the final at that – for the first time, with the winning start-up innovation announced on the last day at the summit.

Organized annually in line with the smart government vision of High Highness Sheikh Mohammed bin Rashid Al Maktoum, Vice President and Prime Minister of the UAE and Ruler of Dubai, the GovTech Prize seeks to motivate government entities, startups and students around the world to pioneer technological solutions to common global challenges.

A part of the upcoming seventh edition of the World Government Summit (WGS 2019), set to run at Madinat Jumeirah from February 10 to 12, the overarching GovTech Prize initiative will host the Best m-Government Service Award and the big prize money GovHack Series final.

The Best m-Government Service Award aims to encourage government institutions to provide innovative solutions through smartphone apps. Submissions fall into seven categories, each seeking to address a specific digital challenge faced by governments. The categories include: Data-driven Apps, Harnessing Smart Technology, Public Empowerment, Gamification, Innovative Service, Public Private Partnership and Accessible Government. This year's categories have been developed in line with the United Nations' Sustainable Development Goals (SDGs).

In its sixth edition, this year's Best m-Government Service Award has attracted a record number of submissions – 4,646 from 87 countries. The smartphone apps entered for consideration include a range of creative technological solutions to leveraging artificial intelligence (AI), accountability-building platforms that empower citizens to combat corruption, and performance management programs that standardize municipal reporting and service tracking. Altogether, the submissions demonstrate how investments in emerging technologies enables governments to provide better, smarter, and more integrated services that improve citizens' lives.

Mohammad Bin Taliah, assistant director general for Government Services Sector at the Prime Minister's Office in the Ministry of Cabinet Affairs and the Future, said: Harnessing technological innovation is essential to develop better methods of tackling the challenges that will arise in our shared future. Every year, the GovTech Prize recognizes the best smart government initiatives as part of the UAE's global mission to contribute to positive and inclusive change in our world through supporting innovation.”

$100,000 GovHack Prize Money

This year is also a groundbreaking year for the GovHack Series: it will mark the first time the event has been hosted in the UAE. Running from July 2018 through January 2019, the GovHack Series is a worldwide event hosted across five cities, where start-up participants solve issues that face governments worldwide with innovative start-up ideas. The various fields they seek to address include: governance and resilience, economy and society, environment and health, and future and progress. Participating teams must come up with innovative solutions to help governments better serve their citizens.

At each stop of the event, a winner for each category is announced and receives a $10,000 cash prize and a qualifying spot for the final, which is being hosted at WGS this year.

The winning teams from each leg of the competition then convene at WGS, where their winning innovations will be incubated at Dubai's Area 2071. A grand winner will be announced at the event and receive a $100,000 prize.

The unique international competition covers Washington DC, Berlin, London, Santiago, New Delhi, with the aim being that the innovation produced in each city should be implementable within the host city.

With the aim of identifying the most impactful technological solutions developed by top-tier local technology startups that can help governments better serve their citizens as they prepare for the future, the GovHack Series brings together technology pioneers and government officials to promote creative collaboration, dynamic thinking, and technological advancement.

The hackathon attracts some of the best talent in the world – including established programmers, software developers, tech entrepreneurs, and university students – to solve the most critical problems of today. It puts top tech thinkers at the center of the push for future-ready ideas that generate shared public value.

Bin Taliah added: The practical, real-world, solution-oriented character of each category of the GovTech Prize makes the award stand out for its timely contribution to resolving some of the most pervasive challenges facing humanity. As the pace of globalization and technological progress accelerates, the need to find smart solutions to our shared problems has never been greater. While smart technology is becoming increasingly integrated in the everyday lives of global citizens through mobiles, tablets, laptops, watches, and other gadgets, people in impoverished communities still struggle to satisfy their basic needs and human rights.”

The GovTech Prize seeks to bridge the gap between government decision makers and technology pioneers to encourage critical capability development and leverage new technologies to strengthen our communities. Core to its mission, the Prize rewards collaboration and creative ideas to ensure opportunities for innovation are identified and technology is utilized for the greatest social impact.

The World Government Summit 2019 is set to convene more than 4,000 participants from 140 countries, including heads of state and governments, as well as top-tier representatives of 30 international organizations. – TradeArabia News Service
"
Entrepreneurs,Dubai,"The artificial intelligence-based Medicus announced closing the first tranche of its series A funding round

Dubai - Mubasher: Medicus AI GmbH on Monday announced closing the first tranche of its series A funding round worth about EUR 2.75 million (over AED 11.5 million).

The artificial intelligence-based health technology startup founded in Dubai aims at closing a second tranche of around EUR 2.25 million (just over AED 9.5 million) within the coming few months, it said in a statement.

Healthcare is in dire need of a user-experience overhaul,” Medicus CEO Baher Al Hakim said, noting that people these days are used to experiencing things in a much simpler and clear fashion, yet healthcare is still complex and impenetrable.”

Augmentation can unlock massive value that reverberates across the whole healthcare system,” Al Hakim added.

The series A funding round will further drive the healthcare technology innovator’s global expansion as well as the development of its diagnostic lab and insurance products.

Currently providing support and services in Arabic, German, French, and English, Medicus plans to launch services in Italian, Chinese, Portuguese, and Spanish in 2019.

As Medicus’ current core client base, the diagnostic lab space produces about 20 billion reports every year.

Medicus is working towards transforming the healthcare sector, simplifying the relations between healthcare providers and patients, and leading to better health outcomes,” Al Hakim concluded. Source: Mubasher
"
Entrepreneurs,Dubai,"Leading companies in the UAE have announced new partnerships with several startups that were selected as part of the third cycle of Dubai Startup Hub’s Market Access programme.

During a ceremony held recently at Dubai Chamber’s premises, Emirates Post Group announced its intention to work with Safe Driving Network on a pilot project testing the startup’s Drivers Network solution which is designed to enhance the safety of drivers.

Aswaaq unveiled its plans to work with three different startups – namely Store DNA, Algorithm Research and Mapidea – on several projects that involve using innovative solutions and data to enhance efficiency and the customer experience.

Axiom announced its plans to collaborate with Wexoz (Fleetroot) and Intuito utilise smart automated fleet management solutions. In addition, Sumitomo Corporation has signed an initial agreement to explore collaboration opportunities with Friendycar with the aim of enhancing car sharing solutions and services.

Addressing attendees during the ceremony, H.E. Majid Saif Al Ghurair, Chairman of Dubai Chamber, congratulated the winning startups for their achievements and partnerships, which he says will inspire other startups to join Market Access in the years to come. He noted that Dubai Startup Hub’s Market Access programme continue to see strong interest from companies and startups as the number of applications and partnerships has increased with every new cycle, adding that such growth reflects the innovative nature of Dubai’s private sector.

Recognising the important role that startups play in fostering a culture of innovation within the business community, Dubai Chamber established Dubai Startup Hub in 2016 with the aim of empowering startups and providing them with access to partnerships and growth opportunities,” H.E. said Al Ghurair said during the ceremony, adding that Market Access remains one of Dubai Chamber’s most successful programmes as it facilitates game-changing deals and partnerships.

Launched in 2017, Market Access is a first-of-its-kind programme which aims to enhance cooperation and facilitate deals between innovative startups and SMEs from around the world, and leading companies and government entities in Dubai.

Dubai Chamber launched Dubai Startup Hub in 2016 as an online platform to connect startups, entrepreneurs, developers, venture capitalists and students, enabling them to learn about new opportunities and create new partnerships that stimulate economic growth.
"
Entrepreneurs,Dubai,"Staff Report

(KT file photo)

The advisor to the Prime Minister of Pakistan on Overseas Pakistanis and Human Resource Development, Zulfi Bukhari, negotiated the launch of rent-free workspaces with Star Business Centre for new Pakistani entrepreneurs and business persons in Dubai.

This is in line with the UAE and Pakistan's economic reforms to support entrepreneurs in starting their businesses.

""We appreciate the spirit of Samana Group of Companies who have become the first Pakistani business group in Dubai offering rent-free workspaces for three months to new Pakistani entrepreneurs, business persons in Dubai,"" according to Bukhari.

This gesture is in line with the vision of Pakistan's Prime Minister, Imran Khan, helping Pakistan become a debt-free and economically independent country.

The recent spate of business-friendly reforms by the UAE government, including 10-year visas for investors and professionals as well as a move to allow 100 per cent foreign business ownership, along with some economic stimulus packages unveiled by Dubai and Abu Dhabi separately, have increased investor confidence of Pakistanis in the UAE.

The Star Business Centre offers workspaces in Dubai's sought-after business districts, Business Bay and Jumeirah Lake Towers.

The centre frees-up investors of the hassles that come with leasing conventional office spaces or building their own offices; a cost-effective, one-stop-shop for new businesses, multinationals, SMEs and the companies who are planning on re-structuring.

Galadari Printing & Publishing LLC
"
Entrepreneurs,Dubai,"SheTrades MENA, the joint initiative between Dubai Exports - the export promotion agency of the Department of Economic Development in Dubai and UPS, returned for its second edition with a workshop held recently at The Address Boulevard Dubai, under the theme of ‘Exporting through Social Media.’

The joint initiative aims to empower and support women entrepreneurs in the Middle East, specifically in the field of trade. SheTrades MENA is part of a worldwide project to connect three million women in international markets by 2021, providing a creative space for knowledge exchange, productive networking opportunities and insightful workshops.

[node:story_0]

Social media is a significant opportunity for women empowerment,” said Mohammed Al Kamali, deputy CEO of Dubai Exports and project director of SheTrades MENA. The emphasis given to entrepreneurship, industrialization and exports across growth plans in Dubai and the UAE, along with the high number of social media users in the country, offer the prospect of exemplary women empowerment programs.”

SheTrades MENA seeks to design and implement such initiatives by collaborating with our eminent partners, including UPS,” he added.

During the event, a series of workshops and panel discussions featuring renowned women entrepreneurs such as Cordelia Henry, founder of Pearlescence and Alexandra Maia, founder of The House of Social, took place.

The workshop series was tailored to women-owned businesses to help them enhance their marketing and logistics strategies in order to gain a competitive advantage by boosting their social commerce.

[node:story_1]

Today, digitalization and e-commerce are creating a new wave of entrepreneurship where women are an active part of the revolution,” said Dara Otwell, UPS marketing communications and activation director for Expo 2020 Sponsorship.

SheTrades MENA is focused on providing digital training to a network of talented women entrepreneurs looking to gain a competitive edge. Women are playing an increasingly important role in SMEs in the region, a development that is supported as part of our shared vision of the future with Expo 2020,” Otwell added.

UPS is committed to supporting initiatives that make impactful differences, the company said in a statement.

Recognized as a global leader in logistics and delivering 3% of the world’s GDP daily, UPS has responded to the rising demand of the use of digital technology by investing in a smart global logistics network that can connect entrepreneurs globally to our network of over 220 countries - making it easier than ever to conduct business on a global scale,” it said.
"
Entrepreneurs,Dubai,"Jan. 28 -- Brand Dubai, the creative arm of the Government of Dubai Media Office (GDMO), and the Dubai International Financial Centre (DIFC) will undertake a series of joint initiatives to promote art, innovation and entrepreneurship. The two organisations announced their first joint projects under the new partnership at an event held to launch the Gate Avenue, DIFC's new premium urban retail, leisure and cultural development.

Her Excellency Mona Al Marri, Director General of the Government of Dubai Media Office said: ""HH Sheikh Mohammed bin Rashid Al Maktoum, Vice President and Prime Minister of the UAE and Ruler of Dubai, has often emphasised on the vital role of art and culture in creating an environment for innovation and ensuring the happiness of citizens. As part of our new long-term cooperation, Brand Dubai and DIFC will work to promote the growth of the city's artistic environment and its creative entrepreneurs. Through joint projects, we aim to inject fresh energy and ideas into Dubai's cultural landscape.""

The two organisations will partner to launch a 'One-Mile Gallery' in Gate Avenue that will create a showcase for some of the best global and regional art. The initiative will also serve as a platform to bring art and artists closer to the community ""As one of the biggest patrons of art in the region, DIFC has built a wonderful collection of art over the years. Through the 'One Mile Gallery', we aim to bring this collection to the public. This new initiative will display not only the works of established masters but also of emerging talent.""

His Excellency Essa Kazim, Governor of DIFC said: ""DIFC is keen to work with Brand Dubai to further energise artistic and entrepreneurial activity in Dubai. Art and culture are crucial to a city's livability and serve as a powerful means for developing a vibrant creative environment and promoting human engagement. Together with Brand Dubai, we aim to create spaces where ideas and imagination can thrive. We are also looking at a range of joint initiatives that will showcase Dubai's innovative character and foster collaborative relationships between artists, creative professionals and entrepreneurs.""

Brand Dubai and DIFC also rolled out the second phase of a campaign to harness local talent focused on Emirati-owned businesses. The new initiative will see Brand Dubai and DIFC work closely to select ten unique Emirati retail concepts looking to establish a presence in one of Dubai's prime locations. DIFC will provide each concept with exclusive space in Gate Avenue, offer cost-effective licensing packages and cover the full fit-out cost for all ten outlets. Applicants will be selected based on the originality and growth potential of their concept, as well as compatibility with the growing DIFC community of more than 23,000 people.

One of the ten retail spaces will be dedicated to entrepreneurs looking to test out their concepts in a live market setting on a short-term, rotating basis. These short-term leases will cater to a selection of aspiring retailers that are seeking flexibility in the management of their operational costs and commitments.

HE Mona Al Marri further said: ""Our collaboration with DIFC to launch this competition is part of Brand Dubai's 'Proudly from Dubai' initiative whose key goal is to tell local and global audiences the success stories of exciting and innovative businesses born and initiated in Dubai. From a larger perspective, we seek to tell the story of innovation and creativity shaping Dubai's emerging business and entrepreneurial culture. Both our organisations will be working together to undertake initiatives to promote art, creativity and entrepreneurship. By combining our unique strengths, we seek to provide a new impetus for the development of the cultural landscape in Dubai.""

HE Essa Kazim said: ""The second edition of the 'Harnessing Local Talent' competition aims to identify, recognise and foster promising Emirati creative entrepreneurs in the design and lifestyle sectors. We will be providing a range of financial and operational support to help entrepreneurs turn their concepts into reality. Gate Avenue provides an exceptional opportunity for these entrepreneurs to test their ideas and gives them opportunities to tap a large captive market of high-income professionals. We will continue to explore fresh avenues to tap synergies between DIFC and Brand Dubai to promote art, creativity, enterprise and innovation in Dubai.""

DIFC today also unveiled The Design House retail collective at Gate Avenue, which offers seamless connectivity across the DIFC. The Design House features 12 local fashion, homeware, jewellery and design start-ups, selected as part of the first edition of the Centre's hugely successful campaign to harness local talent, which received over 155 applications in its first phase.

Spanning across 660,000 square feet of built up area and 880 metres in total length, Gate Avenue at DIFC is a premium urban retail, leisure and cultural development at the heart of the Centre that links the podium levels of all buildings in DIFC, from the Gate Building to Central Park Towers. The flagship development is set to enhance the DIFC's position as a first-of-its kind destination with over 200 dining, boutique, retail and entertainment options.
"
Entrepreneurs,Dubai,"Mona Al Marri and other officials tour The Design House at Gate Avenue in DIFC.

(Supplied photo)

With the majority of the Arab world population consisting of youth, there needs a real focus on developing their talent so they can pursue positive outlets, not negative ones, cited a top Dubai official.

As 12 design entrepreneurs set up shop at The Design House in the Dubai International Financial Centre (DIFC) on Monday, Mona Al Marri, director-general of the Dubai Media Office, said with ""the agenda of culture very important in the UAE"" this is just another step in fulfilling the vision of turning Dubai into an open air museum.

""Today, everyone talks culture and art. It has become an international language and it's a language that is helping to ease the dialogue between the east and west. We need to focus on what brings us together, not what divides us.""

The 12 design entrepreneurs from different nationalities were whittled down from 155 hopefuls as part of the 'Harnessing Local Talents' initiative by the DIFC and Brand Dubai.

Each has now been given a 12-month, free-of-charge residency at the Gate Avenue in the DIFC to promote and sell their unique products.

""From a government perspective, I hope to see more initiatives like this coming through that nurtures the arts and culture scene in Dubai.

""Young entrepreneurs don't have the opportunity to invest in such a huge space when they start out, so part of that cultural agenda is supporting their business and allowing them to grow,"" she told Khaleej Times.

With promoting art differently one of the main objectives of Brand Dubai, this new hub for these 12 young designers will help to encourage and nurture more home-grown talent who can then go out and represent the UAE to the rest of the world.
"
Entrepreneurs,Dubai,"The Department of Economic Development – Ajman (DED Ajman), signed a Memorandum of Understanding (MoU) with Dubai SME, to implement several initiatives aimed at enhancing cooperation that support national entrepreneurs. The MoU seeks to fulfil key initiatives for SMEs such as signing them in various concessions, providing the best training and marketing strategies for their projects and products, collaboration in events and exhibitions, and sharing of experiences for research and studies related to the growth of SMEs.

H.E. Ali Issa Al Nuaimi, Director General, DED Ajman and H.E. Abdul Baset Al Janahi, CEO, Dubai SME signed the MoU at the DED Ajman headquarters in the presence of several officials from both entities. The MoU provided the framework for cooperation between the two parties aimed at strengthening their cooperation through an agreement and achieve their shared vision and goals towards boosting entrepreneurship among citizens.

The agreement includes making concessions available for (SMEs) within both emirates, including the registration of DED Ajman members in the government procurement program of Dubai SME, which allocates 10 per cent of the purchases to registered members of any government entity. It also incorporates cooperation agreement in areas of research and providing statistics and data for projects in the sector as well as collaboration programs aimed at providing training courses in entrepreneurship, marketing and organizing exhibitions.

H.E. Al Nuaimi said: The MoU with Dubai SME is part of the efforts of DED Ajman to expand its strategic partnerships and strengthen cooperation with various institutions concerned with the economic affairs in the country. It will enhance cooperation between the two parties in the scientific, training and marketing fields aimed at supporting local entrepreneurs and enhancing their contribution in economic activities.”

Abdul Baset Al Janahi, CEO, Dubai SME, said: ""We are delighted to be partners with the Department of Economic Development in Ajman towards achieving our shared vision of supporting youth projects and developing a generation of entrepreneurs through collaboration, exchange of experiences and a package of services. Our partnership is also aligned to the vision and direction of the UAE to promote entrepreneurship, develop small and medium enterprises, and bring added value to the economy of Dubai, Ajman and the UAE in general given the growth potential of our local companies. Dubai SME has the expertise to assist and guide entrepreneurs in navigating the market successfully through development, advisory and training programmes, thus enabling them to focus on growing and expanding their project.
"
Entrepreneurs,Dubai,"Dubai: In a further boost to entrepreneur-backed businesses, Area 2071 has commenced the second class of Techstars’ start-up accelerators programme in Dubai. Area 2071 is a project from Dubai Future Foundation to connect start-ups with the government, and designed with UAE’s Centennial 2071 objectives.

“We think Area 2071 represents the vision of Dubai, and an ability to invent and move rapidly is one reason that is compatible to our core values,” said Vijay Tirathrai, managing director of Techstars Dubai. “This is not a physical space as compared to other hubs around the world. We have access to wider sectors that are supported by the leadership and Dubai Future Foundation.”

Techstars is an American seed accelerator with a worldwide network for entrepreneurs. Of the 1,000 start-up applications received globally, Tirathrai said Techstars, in partnership with Ginco Investments, select 10 entrepreneurs into the programme with a seed funding of $120,000 each and with an equity stake of 6 per cent.

Techstars runs 15 accelerators programmes globally, including the one in Dubai, and has 65 corporate partners.

“Our aim is to disrupt 12 industries — government, energy, transportation and logistics, retail, society development, construction, FMCG, pharma, finance and banking, education, media and communication, food and aviation,” said Maha Khamis Al Mezaina, director of Area 2071. “We value the technology these start-ups bring in and disrupt the industry.”

When asked about the difficulty in getting sizeable funding here, Tirathrai said Silicon Valley is the destination for tech start-ups to raise capital, especially from venture capital (VC) providers.

“However, when you see start-ups as an asset class looking for seed funding, the majority of investors are not VCs,” said Tirathrai. “They are angel investors and they are available everywhere. It is a question of how you engage them. With the programme that we have, we offer investors something they may not be able to do on their own.”
"
Entrepreneurs,Dubai,"Dubai is committed to innovation[https://www.visitdubai.com/en/discover/expo-2020], with rapid infrastructural growth and state-of-the-art facilities, and has positioned itself as an incubator of possibility. With a future first vision, the city frequently hosts world-class conferences and events on technological growth that touch upon multiple trades and markets. Whether you’re a tech enthusiast who wants to stay ahead of the curve, or part of an industry where technology is the name of the game, here are the top events to look out for in 2019:

Organic and Printed Electronics

For anyone involved in the Organic and Printed Electronics field, OPE-MENA[https://www.visitdubai.com/en/events/ope-mena] is your conference. A leading communications event for the industry, this conference attracts stakeholders and decision makers from across the Middle East, North Africa and more. Register to unlock up to 17 expert-led lectures on pertinent subjects, like manufacturing technology, Internet of Things and solar panels. It’s a fantastic opportunity to meet peers[https://www.visitdubai.com/en/events/business#/?pg=2&sz=10] from across the world, while getting information on the latest advancements in the field. From CEOs to IT staff, marketing managers to investors, the OPE-MENA is a necessary date to add to your calendars.

Who: CEOs, Investors, Healthcare Practitioners, Engineers, Media and Marketing Staff, IT Staff, Students

When: 29-30 January

Where: Grand Hyatt Dubai

More info[https://www.visitdubai.com/en/events/ope-mena] 

Data and Next-Gen

Whether you’re a big time corporation or a startup, Oracle OpenWorld Middle East[https://www.visitdubai.com/en/events/oracle-openworld-middle-east] is a must-attend for all. This two-day technology exhibition is dedicated to using the insights and data of today to help make smarter decisions tomorrow.[https://www.visitdubai.com/en/discover/expo-2020] This exhibition stresses the importance of data-driven cultures and introduces stakeholders and decision-makers to next-gen infrastructure, solutions and technologies that will help businesses not only stay in the running, but also well ahead of it. Expect talks by experts on critical subjects like ‘The Changing Workforce’ and ‘Evolving Customers’, learn about artificial intelligence and cloud systems, and see showcases by international vendors. Attendance is free but you must register in advance.
"
Entrepreneurs,Dubai,"Online travel agencies (OTAs) such as Booking.com and Expedia are taking advantage of hotels, according to the co-founder of direct hotel bookings platform BookedHappy.

Speaking to Arabian Business ahead of the platform’s launch, Charlotte Gossage said agencies’ powerful marketing tools have intimidated” hotels and prevented them from lowering rates on their own websites.

The platform, which is set to launch next week, aims to bring business back to hotels through direct bookings. It will include hotel deals on the platform, but refer customers to hotel websites to enable direct bookings.

Some hotels are slowly realising that even in an OTA contract, a hotel brand can give a lower rate. I think OTAs are taking advantage of their powerful position and intimidating hotels by preventing them from giving lower rates than them, when in fact, hotels can give lower rates through direct bookings,” Gossage said.

OTAs have so much marketing power behind them that hotels also show guests that they rely on OTAs. So we all feel comfortable going through the agencies,” she said.

The founder said OTAs have largely affected hotel bottom lines due to high commission charges.

OTAs told hotels, ‘Oh, we’ll help you to get your rooms filled,’ and then they took control. So hotels got a bit complacent, but room rates were at a four year low last year and hotels’ bottom line is really being affected,” she added.

Gossage claimed hotels give OTAs up to half a million US dollars in commission every year.

I wouldn’t be surprised if some hotels were giving half a million dollars to Booking.com a year. But if you look at Booking.com and see how many bookings have been made, keeping in mind that the average room rate is around [$100], even 15 percent commission is a lot of money,” Gossage said.

The founder also said hotels should work harder to get guests to book directly through their websites by improving them and offering extra perks.

The problem is that all hotel websites are cookie cutters and don’t stand out. Hotels can stand out more and that’s what we’re trying to do,” she said.

If customers book directly through hotel websites, they’re most likely to get extra perks such as a room upgrade. According to case studies we’ve conducted, families with kids are more likely to get a nicer room if they book directly with a hotel as opposed to through OTAs,” she added.

In September last year, a Netherlands-based start up told Arabian Business it is also aiming to ""give business back to hotels"" through a 0 percent commission model that takes on online travel agencies such as Booking.com and Expedia.

Bidroom boasts a 0 percent commission model and relies on annual subscriptions and memberships for profit.

Co-founder and CEO Michael Ros said the concept offers both hotels and guests more value for money by eliminating agency charges.

The hotels are very happy with us, because they’re getting their control back. Other booking platforms charge such high commission. So we give them their business back, plus direct reservations, so all the hotels came on board with us,” he said.

Because we don’t take commission, we create a win-win situation for both guests and hotels. If we don’t charge commission, hotels save a lot. And if we give on behalf of that back to guest, the guest is happy to save 10%. Hotels earn much more on reservations, so they’re more willing to give better discounts on room rates. We’re also a closed platform, so prices are not public,” Ros added.
"
